,message,cleaned,output
0,"Reminder for daily reporting and attendance on mob app daily 9:00 am,","reminder daily reporting attendance mob app daily : am,",['Not Found']
1,"How will you remind me let me know,","remind let know,",['how']
2,"Can u remind me till 11,","u remind till ,",['How']
3,"Call at 9 am every day,","call  every day,",['call me']
4,"Remind me to bid for flights on 13th december at 6 pm,","remind bid flight th december  pm,",['Not Found']
5,"Reminder 11am tomorrorw buy bell for papu,","reminder am tomorrorw buy bell papu,",['Not Found']
6,"Remind me to book b tickets tonight by 10 pm,","remind book b ticket tonight  pm,",['book tickets']
7,"Can you remind me to masturbate,","remind masturbate,",['How']
8,"Reminder on invoice preparation,","reminder invoice preparation,",['What']
9,"1 alarm at 1 30am please. Ignore the 12 20am one,"," alarm  am please. ignore  am one,",['Not Found']
10,"One more reminder....2:00 pm ...today for meeting,","one reminder....: pm ...today meeting,",['meeting']
11,"call sagar @5:30 pm,","call sagar @: pm,",['Call']
12,"I'm upset vth d reminder service,","i'm upset vth reminder service,",['What']
13,"Remind me to see. Concert at 7pm,","remind see. concert pm,",['Not Found']
14,"Remind me again after half an hour,","remind half hour,",['Not Found']
15,"Need a reminder for payment and phone at 2pm,","need reminder payment phone pm,",['Not Found']
16,"Remind me tomorrow 11 am to pack gift for my college sir.,","remind tomorrow  pack gift college sir.,",['Not Found']
17,"Remind me on 1st dec to take appointment of those 2 customer at sanaswadi,","remind st dec take appointment  customer sanaswadi,",['appointment']
18,"Remind me to play football at 10 5,","remind play football  ,",['How']
19,"Weke up alarm I need morning,","weke alarm need morning,",['Not Found']
20,"Would you remind me to print the log sheet out today,","would remind print log sheet today,",['take a print out']
21,"Cud u pls set up a recuring reminder,","cud u pls set recuring reminder,",['Not Found']
22,"Hey thanks for ur reminder,","hey thanks ur reminder,",['the reminders']
23,"Please remind me every Tuesday n Thursday for a meeting at Chopras, at 11 am,","please remind every tuesday n thursday meeting chopras,  am,",['meeting']
24,"Yes.. I'll surely use it.. When I need u to remind me something! Thank you,","yes.. i'll surely use it.. need u remind something! thank you,",['something']
25,"Make it a everyday schedule,","make everyday schedule,",['Not Found']
26,"What an early reminder?,","early reminder?,",['What']
27,"Remind me to pray daily at noon,","remind pray daily noon,",['Not Found']
28,"Okk,","okk,",['Not Found']
29,"Remind me of talking with RICS TODAY AT 11 AM ,","remind talking rics today  ,",['the same']
30,"Please set this for complete month,","please set complete month,",['Not Found']
31,"1 jan 11.55,"," jan .,",['Not Found']
32,"Remind me to take my friend's car for wash on 12th before she comes back,","remind take friend's car wash th come back,",['Not Found']
33,"Remind me next month 16th for hepatitis B vaccination at 10am,","remind next month th hepatitis b vaccination am,",['Not Found']
34,hieee,hieee,['Not Found']
35,"Remind me to attend reception of Kishor Bhai's Son on 28th November,","remind attend reception kishor bhai's son th november,",['Not Found']
36,"Manali sir reminder aata nhi hai,","manali sir reminder aata nhi hai,",['What']
37,"Cancl,","cancl,",['Not Found']
38,"Thank you Sachin for your reminder...,","thank sachin reminder...,",['Not Found']
39,"Reminder me to take print out,","reminder take print out,",['take a print out']
40,"I have to add reminder,","add reminder,",['What']
41,"Remind me to renew my insurance of car on 20/11/2017,","remind renew insurance car //,",['How']
42,"Can the reminder be for 365 days?,","reminder  days?,",['What']
43,"Call means what?,","call mean what?,",['Call']
44,"Hey good morning,","hey good morning,",[')']
45,"Plz remind me to go to the gym at 9am,","plz remind go gym am,",['go to gym']
